SaleID,Product,Date,Price,covid_cases
Sale_1,Gift_A,2021-03-01T09:16:00.0,10.0,1.0
Sale_2,Gift_B,2021-03-01T09:22:00.0,5.0,1.0
Sale_3,Gift_B,2021-03-01T09:45:00.0,5.0,1.0
Sale_4,Gift_B,2021-03-01T09:37:00.0,5.0,1.0
Sale_5,Gift_B,2021-03-01T09:48:00.0,5.0,1.0
Sale_6,Gift_B,2021-03-01T09:52:00.0,5.0,1.0
Sale_7,Gift_B,2021-03-01T09:56:00.0,5.0,1.0
Sale_8,Gift_B,2021-03-01T09:34:00.0,5.0,1.0
Sale_9,Gift_B,2021-03-01T09:24:00.0,5.0,1.0
Sale_10,Gift_B,2021-03-01T09:39:00.0,5.0,1.0
Sale_11,Gift_B,2021-03-01T09:42:00.0,5.0,1.0
Sale_12,Gift_C,2021-03-01T09:36:00.0,20.0,1.0
Sale_13,Gift_C,2021-03-01T09:32:00.0,20.0,1.0
Sale_14,Gift_C,2021-03-01T09:12:00.0,20.0,1.0
Sale_15,Gift_C,2021-03-01T09:21:00.0,20.0,1.0
Sale_16,Gift_C,2021-03-01T09:26:00.0,20.0,1.0
Sale_17,Gift_C,2021-03-01T09:17:00.0,20.0,1.0
Sale_18,Gift_C,2021-03-01T09:21:00.0,20.0,1.0
Sale_19,Gift_C,2021-03-01T09:35:00.0,20.0,1.0
Sale_20,Gift_C,2021-03-01T09:54:00.0,20.0,1.0
Sale_21,Gift_C,2021-03-01T09:13:00.0,20.0,1.0
Sale_22,Gift_C,2021-03-01T09:22:00.0,20.0,1.0
Sale_23,Gift_C,2021-03-01T09:08:00.0,20.0,1.0
Sale_24,Gift_C,2021-03-01T09:09:00.0,20.0,1.0
Sale_25,Gift_C,2021-03-01T09:52:00.0,20.0,1.0
Sale_26,Gift_D,2021-03-01T09:26:00.0,40.0,1.0
Sale_27,Gift_D,2021-03-01T09:08:00.0,40.0,1.0
Sale_28,Gift_D,2021-03-01T09:44:00.0,40.0,1.0
Sale_29,Gift_D,2021-03-01T09:36:00.0,40.0,1.0
Sale_30,Gift_D,2021-03-01T09:41:00.0,40.0,1.0
Sale_31,Gift_D,2021-03-01T09:06:00.0,40.0,1.0
Sale_32,Gift_D,2021-03-01T09:57:00.0,40.0,1.0
Sale_33,Gift_D,2021-03-01T09:05:00.0,40.0,1.0
Sale_34,Gift_D,2021-03-01T09:09:00.0,40.0,1.0
Sale_35,Gift_D,2021-03-01T09:45:00.0,40.0,1.0
Sale_36,Gift_D,2021-03-01T09:42:00.0,40.0,1.0
Sale_37,Gift_D,2021-03-01T09:18:00.0,40.0,1.0
Sale_38,Gift_D,2021-03-01T09:28:00.0,40.0,1.0
Sale_39,Gift_D,2021-03-01T09:21:00.0,40.0,1.0
Sale_40,Gift_D,2021-03-01T09:13:00.0,40.0,1.0
Sale_41,Gift_D,2021-03-01T09:13:00.0,40.0,1.0
Sale_42,Gift_D,2021-03-01T09:56:00.0,40.0,1.0
Sale_43,Gift_E,2021-03-01T09:19:00.0,10.0,1.0
Sale_44,Gift_E,2021-03-01T09:55:00.0,10.0,1.0
Sale_45,Gift_E,2021-03-01T09:12:00.0,10.0,1.0
Sale_46,Gift_E,2021-03-01T09:01:00.0,10.0,1.0
Sale_47,Gift_E,2021-03-01T09:41:00.0,10.0,1.0
Sale_48,Gift_E,2021-03-01T09:15:00.0,10.0,1.0
Sale_49,Gift_E,2021-03-01T09:16:00.0,10.0,1.0
Sale_50,Gift_E,2021-03-01T09:34:00.0,10.0,1.0
Sale_51,Gift_E,2021-03-01T09:27:00.0,10.0,1.0
Sale_52,Gift_E,2021-03-01T09:56:00.0,10.0,1.0
Sale_53,Gift_E,2021-03-01T09:30:00.0,10.0,1.0
Sale_54,Gift_F,2021-03-01T09:53:00.0,20.0,1.0
Sale_55,Gift_F,2021-03-01T09:47:00.0,20.0,1.0
Sale_56,Gift_F,2021-03-01T09:45:00.0,20.0,1.0
Sale_57,Gift_F,2021-03-01T09:27:00.0,20.0,1.0
