ID,Queue,ArrivalTime,ServiceTime,Duration,StaffID,Predict
Work_Item_1,Queue_1,2021-01-01T00:15:01Z,2021-01-01T00:15:01Z,1231.7698068555526,staff_h,false
Work_Item_2,Queue_1,2021-01-01T00:34:59Z,2021-01-01T00:34:59Z,1152.7459925233293,staff_h,false
Work_Item_3,Queue_1,2021-01-01T00:41:19Z,2021-01-01T00:41:19Z,1888.1151361137568,staff_a,false
Work_Item_4,Queue_1,2021-01-01T00:44:09Z,2021-01-01T00:44:09Z,1070.9523161797333,staff_g,false
Work_Item_5,Queue_1,2021-01-01T00:54:13Z,2021-01-01T00:54:13Z,1893.2889604388408,staff_b,false
Work_Item_6,Queue_1,2021-01-01T01:10:10Z,2021-01-01T01:10:10Z,1576.2752225920563,staff_a,false
Work_Item_7,Queue_1,2021-01-01T01:22:31Z,2021-01-01T01:22:31Z,1187.7606241352605,staff_g,false
Work_Item_8,Queue_1,2021-01-01T01:29:20Z,2021-01-01T01:29:20Z,1770.0919789840245,staff_b,false
Work_Item_9,Queue_1,2021-01-01T01:32:08Z,2021-01-01T01:32:08Z,957.6465395772598,staff_g,false
Work_Item_10,Queue_1,2021-01-01T02:01:55Z,2021-01-01T02:01:55Z,1148.778131977532,staff_h,false
Work_Item_11,Queue_1,2021-01-01T02:08:36Z,2021-01-01T02:08:36Z,2009.5116038442784,staff_b,false
Work_Item_12,Queue_1,2021-01-01T02:22:57Z,2021-01-01T02:22:57Z,1808.8216721334775,staff_b,false
Work_Item_13,Queue_1,2021-01-01T03:19:39Z,2021-01-01T03:19:39Z,1778.7608308950191,staff_a,false
Work_Item_14,Queue_1,2021-01-01T03:34:10Z,2021-01-01T03:34:10Z,1627.6808104648399,staff_b,false
Work_Item_15,Queue_1,2021-01-01T04:14:37Z,2021-01-01T04:14:37Z,1558.956954545584,staff_b,false
Work_Item_16,Queue_1,2021-01-01T04:41:54Z,2021-01-01T04:41:54Z,1787.3845658683867,staff_a,false
Work_Item_17,Queue_1,2021-01-01T04:49:38Z,2021-01-01T04:49:38Z,1001.5085099064338,staff_h,false
Work_Item_18,Queue_1,2021-01-01T05:01:45Z,2021-01-01T05:01:45Z,1943.6153433806069,staff_a,false
Work_Item_19,Queue_1,2021-01-01T05:22:40Z,2021-01-01T05:22:40Z,1321.0806203656107,staff_h,false
Work_Item_20,Queue_1,2021-01-01T06:07:17Z,2021-01-01T06:07:17Z,1322.9905677206061,staff_h,false
Work_Item_21,Queue_1,2021-01-01T06:14:15Z,2021-01-01T06:14:15Z,1915.1272919016537,staff_a,false
Work_Item_22,Queue_1,2021-01-01T06:34:51Z,2021-01-01T06:34:51Z,1424.302684399191,staff_a,false
Work_Item_23,Queue_1,2021-01-01T06:43:55Z,2021-01-01T06:43:55Z,2155.4766354128747,staff_a,false
Work_Item_24,Queue_1,2021-01-01T06:54:15Z,2021-01-01T06:54:15Z,1108.0645943135662,staff_h,false
Work_Item_25,Queue_1,2021-01-01T07:02:51Z,2021-01-01T07:02:51Z,1257.2918865805896,staff_g,false
Work_Item_26,Queue_1,2021-01-01T07:03:17Z,2021-01-01T07:03:17Z,1848.4398583786117,staff_a,false
Work_Item_27,Queue_1,2021-01-01T07:17:03Z,2021-01-01T07:17:03Z,1278.5161392128568,staff_g,false
Work_Item_28,Queue_1,2021-01-01T07:23:57Z,2021-01-01T07:23:57Z,1954.158869834295,staff_a,false
Work_Item_29,Queue_1,2021-01-01T07:25:50Z,2021-01-01T07:25:50Z,2017.7681320297716,staff_a,false
Work_Item_30,Queue_1,2021-01-01T07:27:05Z,2021-01-01T07:27:05Z,1724.4592507923817,staff_b,false
